,0
0,497214.3370230588
1,278734.44507582276
2,953903.9075043217
3,644502.518234987
4,139521.62388727564
5,660981.7838694034
6,744239.1239869245
7,1047072.2358311795
8,345375.52522225433
9,124766.43496667349
10,490303.1139893009
11,137933.82857239153
12,158475.24256938708
13,1004518.2905519587
14,298397.362164021
15,470453.60009028646
16,440318.40711523115
17,588144.9426765058
18,494164.85147074424
19,923953.0542350028
20,1858141.0730345547
21,699812.9078409777
22,205594.7955941531
23,365707.93603057193
24,542739.8746281324
25,113462.47574730247
26,269656.4270321593
27,715812.168284365
28,561697.946952428
29,542486.7921435522
30,301456.62020719936
31,629376.2427426431
32,499655.81449907285
33,796560.6841454925
34,166035.79174097854
35,322773.54683734674
36,11031.518798300705
37,411116.7328340232
38,402158.4641358545
39,475244.5517584139
40,389755.1606095815
41,121445.18674969312
42,1825978.7260202095
43,403296.9973500554
44,685701.2381100932
45,503630.1317321758
46,513287.20867470047
47,233842.38097691385
48,595264.3831277031
49,593948.0167493687
50,805905.1461729506
51,207082.4137958752
52,384726.4001138648
53,1312729.17567425
54,618806.3509972515
55,559162.4068967426
56,626986.6261236168
57,391009.7015872123
58,280542.09021268925
59,422192.876728795
60,13729.665371932526
61,984492.209935245
62,263780.20455080556
63,460545.0552750005
64,349190.5524440941
65,448210.3480863541
66,601252.3047692917
67,197973.26654360932
68,464519.60668281955
69,929551.1696480099
70,71708.01417157362
71,877268.5656252623
72,475213.0444131751
73,1151303.09353127
74,627481.8564452244
75,229372.68346330157
76,881700.9082022462
77,386473.67609097785
78,1637475.908326854
79,356415.74834900757
80,386714.0456889663
81,1098544.865338048
82,364613.0567730685
83,847324.4005438607
84,928518.3504444681
85,1738770.2751321816
86,604010.1947729264
87,758070.6672522444
88,464660.66918898874
89,650174.7712251337
90,1299488.3130521746
91,737574.0156973646
92,121973.61895895295
93,722241.2729664763
94,402236.1308095271
95,349152.2260550619
96,319215.9941218045
97,99030.75121872209
98,434040.5903705467
99,1053392.3833059883
100,725935.3023385124
101,342013.23084386846
102,287569.2285324258
103,415202.2858036561
104,561055.9774604875
105,792693.1766611525
106,483810.5715990419
107,1368666.1006413465
108,-54546.03992986004
109,325540.28340931924
110,465422.99705895886
111,403354.84590045526
112,466513.8846429421
113,319782.44394384173
114,694958.2168390795
115,24252.652007484634
116,1947189.784689175
117,505982.5656550395
118,405651.45816860127
119,659604.9506541213
120,388691.46339790244
121,426445.88430763164
122,1058786.996184466
123,197027.48112764116
124,395011.06919632305
125,1061816.6486218562
126,943980.0048429157
127,459978.7402246363
128,2065127.8056391105
129,707708.7977440415
130,819384.2117077286
131,625850.6458162321
132,222802.07050413307
133,272270.9444111866
134,994874.5389738382
135,520651.67297571595
136,530341.0111397239
137,417593.04627264175
138,932368.4330608143
139,201275.18980368623
140,385378.31637612975
141,916703.8009530458
142,633594.3016574827
143,93863.82591982104
144,378910.3571588445
145,2258325.2851623357
146,562289.8245688053
147,-78085.33928993862
148,657061.8940532996
149,115283.84817209258
150,1204374.924810608
151,528604.0427525516
152,701404.4817125415
153,1664298.9469886678
154,213237.14716980082
155,469772.5508650567
156,611716.2461656751
157,558796.3925312671
158,132052.85040545033
159,420064.22451717267
160,1333777.5023198244
161,554404.6535229308
162,634441.7819881262
163,288719.84585202433
164,1282872.5539568295
165,245950.52218261675
166,111311.02820334054
167,644130.3516045285
168,196558.7435899073
169,480179.5778479348
170,61317.33915503515
171,980235.8857445578
172,388116.15217702393
173,455767.55328873557
174,146895.7726086722
175,931523.3927638662
176,696470.0212042369
177,109275.16622376599
178,163585.23816426558
179,284244.8812313153
180,-40198.16536463963
181,1230342.8815061413
182,540996.093689268
183,388410.86457637127
184,297517.2563038431
185,734403.0130806945
186,569171.4367880963
187,609535.7990530247
188,421757.2928175946
189,578040.030983833
190,166461.58599307376
191,206052.31905910757
192,94971.44880125677
193,321131.0601712868
194,381741.1847840259
195,419527.5185815395
196,276855.8793380071
197,558864.8679238214
198,809458.6512778549
199,900105.1113072481
200,828160.9596712795
201,1271387.466233878
202,635170.4192968244
203,695600.142844684
204,194938.3262862477
205,464410.42654370563
206,336095.4512566513
207,564573.7765311456
208,234616.6164192441
209,203018.74598148325
210,989735.1751819093
211,589562.8831360664
212,1286516.6619561468
213,251530.04415398574
214,136177.7708208203
215,690884.934578651
216,366160.8003672435
217,375790.13661046827
218,165045.46644160827
219,146118.56686177518
220,978579.1015113714
221,569125.5378598389
222,786917.7486675415
223,532152.3253174765
224,258270.74037647754
225,288219.4590805579
226,114547.48146578076
227,216824.52282582247
228,126948.6401854551
229,226707.71712532407
230,666297.6546991561
231,1069039.2166974382
232,825333.2436966413
233,131894.17176381347
234,1174873.8848243058
235,491363.2880880161
236,585610.495642287
237,875792.9548707866
238,931675.9805905799
239,530331.5711300302
240,478364.87684571766
241,435812.6651609095
242,690032.1432518725
243,564858.1604318848
244,865413.5463168196
245,262404.38763487054
246,531292.4466138419
247,392736.2714564018
248,876698.2176790185
249,976116.2289858988
250,888810.9902778639
251,508948.69515267597
252,897863.1367844647
253,1386257.5973387603
254,624740.31833639
255,76468.47304337221
256,438246.6426948431
257,1054451.158824745
258,493169.27912668174
259,631137.8361352367
260,651220.1701868507
261,303530.8560173182
262,827121.0345495698
263,797782.6006063198
264,451579.7872243988
265,357547.3115501985
266,719230.7760818361
267,616581.2430925386
268,542108.9832221472
269,1754145.9725090708
270,753954.3416127434
271,515951.9225930753
272,762582.74045191
273,571712.9775762138
274,770192.5851981316
275,271043.8269523483
276,1010729.6698807584
277,613715.4088178157
278,267021.1167910632
279,553942.5250648829
280,547133.6577951278
281,431223.56435800006
282,654666.2538230974
283,257418.3000326623
284,203868.21324465203
285,389035.5223971744
286,414004.3853998927
287,393652.23179315345
288,1312161.2724240026
289,406110.0067105207
290,307740.7602019189
291,491393.86723853415
292,401567.83204481704
293,473992.6708988412
294,903141.022719598
295,962784.4330282275
296,521238.9220202664
297,249472.3033709359
298,835534.6932388685
299,794465.1497279617
300,38116.58249381068
301,207230.65122890152
302,950138.6991077376
303,1237395.8166267462
304,619633.0196470523
305,830754.0388729206
306,270600.7324727038
307,878400.0126235589
308,347340.64057644235
309,552368.5638606934
310,-51040.032831997116
311,297701.1486749463
312,130394.24162537971
313,349765.8156224893
314,246912.9580206839
315,505942.6105567658
316,607299.1208623095
317,202919.35329931008
318,745811.7252918836
319,1944122.2132612518
320,463587.1726151091
321,434284.33132848586
322,64626.76488294132
323,429690.2523296155
324,885986.5949761063
325,861072.4681177392
326,755602.8718911811
327,514126.40319620864
328,1351053.5220181611
329,68772.46224346105
330,317563.50878583465
331,174481.959063089
332,568241.6555650014
333,597815.9501359385
334,449763.11830532725
335,279591.47560065344
336,-61958.507324432954
337,746748.7410657331
338,548797.0448803774
339,354471.95682779734
340,381985.67609734647
341,619332.3715454274
342,858103.8090068846
343,700927.4324184585
344,269856.4015937558
345,166523.5797907131
346,67098.42350748397
347,727332.9182677675
348,405666.05501062016
349,290206.1943145357
350,427809.67383460235
351,389133.42622687365
352,1072276.4042874947
353,342843.6142349995
354,211103.81681683823
355,562714.0269862413
356,304890.84188091906
357,639049.6933747496
358,-334757.32354988734
359,565151.3651012133
360,1348267.084830217
361,88136.86552341143
362,-32957.32487009553
363,119636.48920260125
364,348807.14717509295
365,444192.0038584294
366,254935.03052025876
367,304335.4571327064
368,57599.77341560298
369,881114.44377243
370,1266553.5026422832
371,849288.4148333244
372,475703.92319314706
373,482219.17915765324
374,1394523.3501046062
375,134780.83911739255
376,287752.2557128751
377,902848.2531436613
378,746728.768362418
379,355320.01038889366
380,753289.6131156452
381,695117.8107223079
382,356108.8136539331
383,680816.6282105242
384,661805.4988283097
385,1148738.1856374703
386,358742.96240919374
387,837860.5986118744
388,521739.21967036475
389,492412.11968065216
390,183545.73976346652
391,960112.3400234889
392,149028.49544292025
393,447054.14323783293
394,-196960.18073492678
395,403724.75551204477
396,20582.286597413884
397,934029.7041715783
398,617277.9774855156
399,657487.659209184
400,111186.92136151722
401,1326843.987098441
402,712522.5962446906
403,68933.16408289596
404,512628.7520616349
405,1574415.539801837
406,1059242.6985570947
407,-36641.70265671855
408,249951.26679854374
409,962431.3793814763
410,702340.8436053097
411,91306.16863133339
412,241561.9697429975
413,103651.80837761785
414,561182.8702813785
415,470306.23282758717
416,440082.21406568354
417,136308.28567479056
418,474176.669580013
419,540631.7694397292
420,268840.4189499435
421,100865.30177559686
422,234126.96124590852
423,527367.2953789438
424,190034.21532928414
425,748232.0986748796
426,337898.4793229188
427,547305.1084091851
428,798606.1642892841
429,113468.1120305616
430,387934.5488363784
431,595601.6081301303
432,836712.9580912112
433,178519.72690023226
434,458725.01631196565
435,856407.6093743403
436,72594.14977076882
437,579234.8472807908
438,1423298.8159476677
439,487440.2845253872
440,539652.3055842202
441,537329.1033871509
442,778368.8236436405
443,470500.68589568767
444,1412505.7584422785
445,665093.6408575526
446,368168.68096309644
447,424579.92820182815
448,1378365.497685173
449,586943.1553085537
450,316374.33345393464
451,538654.3207667146
452,92084.15034558758
453,519618.5987983821
454,539260.3418256472
455,696648.0949075652
456,195451.40052651928
457,163424.15159600048
458,181498.25511187752
459,636342.3180469796
460,258687.62166955584
461,472910.07409652125
462,296915.8737625928
463,254323.92605695978
464,144172.9712457687
465,499658.0498162799
466,364551.0043879505
467,568761.5260777433
468,172150.8754957007
469,445938.62621452624
470,282501.3414372662
471,362391.4279364345
472,327697.5768807292
473,365931.71852458396
474,215241.35985883407
475,475636.51777652476
476,492381.30506374664
477,213791.38778813783
478,298861.3035996875
479,391658.67407005595
480,284273.8841761764
481,425074.71885005955
482,475789.37700689374
483,417252.99669195863
484,285980.45776944025
485,395133.06504915224
486,566424.5581316759
487,456388.88238724205
488,298586.69091638934
489,361652.80333001027
490,1141513.527188789
