x,y,type
0.0,86.0,positionHuman
-150.0,0.0,positionLion1
150.0,0.0,positionLion2
0.0,260.0,positionLion3
-4.999999999999998,77.33974596215562,positionHuman
-136.76494892984817,7.059279224571922,positionLion1
132.10406128097515,8.929466801825685,positionLion2
-0.5472594840112444,240.0074887255963,positionLion3
-9.226182617406991,68.27666809178912,positionHuman
-123.24205264706627,13.550140194052265,positionLion1
113.6638834589337,16.672840865597266,positionLion2
-1.5567301122140142,220.03298074540325,positionLion3
-12.646384050663677,58.87974188393004,positionHuman
-109.36263005265471,19.238868386340744,positionLion1
94.69488470565736,23.01138062631512,positionLion2
-2.929769817164897,200.0801673606039,positionLion3
-15.234574501688884,49.22048362103935,positionHuman
-95.07013823269817,23.791304830320566,positionLion1
75.24017382138524,27.64972347795774,positionLion2
-4.55566176012823,180.14636502914172,positionLion3
-16.97105627835819,39.372406090917266,positionHuman
-80.36002744767515,26.726034918820986,positionLion1
55.399857594326676,30.171994678744138,positionLion2
-6.312718258451055,160.22369571848705,positionLion3
-17.842613705834776,29.41045910999981,positionHuman
-65.37383642465126,27.369524329330893,positionLion1
35.4009385781504,29.96405674467876,positionLion2
-8.068713135870544,140.30093280792477,positionLion3
-17.84261370583478,19.41045910999981,positionHuman
-50.57980917678932,24.892276301878162,positionLion1
15.782614469524404,26.075437559298948,positionLion2
-9.680438527573449,120.36598005499003,positionLion3
-16.971056278358198,9.448512129082355,positionHuman
-36.94994958055725,18.629135924479563,positionLion1
-2.0511299646696806,17.022396111484213,positionLion2
-10.99221013040813,100.40904503825972,positionLion3
-15.234574501688895,-0.3995654010397267,positionHuman
-25.668446137631694,8.743404789795653,positionLion1
-14.119551140086138,1.0739413169669803,positionLion2
-11.83313288558095,80.42673163565709,positionLion3
-12.646384050663688,-10.05882366393041,positionHuman
-17.128020134467874,-3.5879018597238233,positionLion1
-11.495879273868582,-18.75322050560406,positionLion2
-12.01287833073576,60.427539362594004,positionLion3
-9.226182617407002,-19.455749871789493,positionHuman
-10.441546065479782,-17.015152677547622,positionLion1
7.609828528371047,-24.66692741205791,positionLion2
-11.31561068616334,40.43969761237413,positionLion3
-5.000000000000007,-28.51882774215599,positionHuman
-4.0275329149094174,-30.574667244976297,positionLion1
-11.517670333423897,-30.509768098918467,positionLion2
-9.491532030128528,20.52305288851067,positionLion3
-1.7763568394002505e-15,-37.179081780000374,positionHuman
3.78221577568904,-43.381221246334185,positionLion1
5.79008074459631,-40.53183139054113,positionLion2
-6.245318838805734,0.7882587442465336,positionLion3
5.735764363510464,-45.37060222289029,positionHuman
14.291993288118316,-54.08377125272219,positionLion1
5.565590016707294,-60.53057144868209,positionLion2
-1.2205855728480914,-18.570255031505436,positionLion3
12.163640460375863,-53.03104665408007,positionHuman
0.8467729102914454,-47.433504416596804,positionLion1
18.776419823396537,-45.514780566457766,positionLion2
6.020259513780146,-37.21348872181389,positionLion3
